Wall time,Step,Value
1733098242.143944,0,0.005239010788500309
1733098243.2958093,1,0.0009022171143442392
1733098244.486327,2,0.0013943355297669768
1733098245.6359503,3,0.0007894399459473789
1733098246.734536,4,0.014168909750878811
1733098247.889816,5,0.0020709983073174953
1733098248.9925354,6,0.0012610534904524684
1733098250.139487,7,0.0011687811929732561
1733098251.2898483,8,0.0013328207423910499
1733098252.4861164,9,0.0016814045375213027
1733098253.637495,10,0.005485069938004017
1733098254.8086088,11,0.0013738306006416678
1733098255.9532034,12,0.0013943355297669768
1733098257.138171,13,0.0015993848210200667
1733098258.2803915,14,0.0015788798918947577
1733098259.4236493,15,0.0015276175690814853
1733098260.5595803,16,0.027681661769747734
1733098261.6902232,17,0.002142765559256077
1733098262.8551235,18,0.0011687811929732561
1733098264.0058036,19,0.05646033585071564
1733098265.1555166,20,0.001230296096764505
1733098266.3123376,21,0.0013020633487030864
1733098267.4738545,22,0.0013430732069537044
1733098268.6393287,23,0.0051057287491858006
1733098270.9644692,25,0.0015788798918947577
1733098272.123339,26,0.0012918108841404319
1733098273.305712,27,0.0009944892954081297
1733098274.4760122,28,0.0009432269725948572
1733098275.6424286,29,0.0007894399459473789
1733098276.777084,30,0.0015788798918947577
1733098277.9737594,31,0.0002973215305246413
1733098279.0050356,32,0.0013533256715163589
1733098279.9376678,33,0.0014148404588922858
1733098280.7589715,34,0.0011277713347226381
1733098281.338189,35,0.0013533256715163589
1733098281.8533788,36,0.0012405485613271594
1733098282.3295155,37,0.0008612072560936213
1733098282.8433893,38,0.001937716268002987
1733098283.3343458,39,0.0013738306006416678
1733098283.8490152,40,0.0013533256715163589
1733098284.2939138,41,0.0016711520729586482
1733098284.7431822,42,0.0016301422147080302
1733098285.279818,43,0.0013430732069537044
1733098285.775901,44,0.0010662565473467112
1733098286.2350647,45,0.0009329745080322027
1733098286.6727703,46,0.022124823182821274
1733098287.1091535,47,0.0014866077108308673
1733098287.5516605,48,0.0016301422147080302
1733098288.010525,49,0.0011380237992852926
1733098288.5096574,50,0.0013430732069537044
1733098288.9322722,51,0.0022350377403199673
1733098289.427468,52,0.0008612072560936213
1733098289.8709435,53,0.0016916570020839572
1733098290.3594198,54,0.0016814045375213027
1733098290.8049939,55,0.0012200435157865286
1733098291.290519,56,0.0014558503171429038
1733098291.7674835,57,0.001937716268002987
1733098292.2099571,58,0.0011482762638479471
1733098292.6488287,59,0.10293477028608322
1733098293.0948975,60,0.0012918108841404319
1733098293.5400658,61,0.04956042394042015
1733098293.99285,62,0.002440087031573057
1733098294.4196777,63,0.0012815584195777774
